Country	Record	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	
Algeria	CBA_GgCO2PerBnUSDGDP	3.044921e+03	3.109352e+03	2.797917e+03	2.356850e+03	1.608182e+03	1.557103e+03	1.570105e+03	1.537836e+03	1.460061e+03	1.209455e+03	9.800791e+02	9.800122e+02	1.051622e+03	1.044388e+03	9.556648e+02	9.260554e+02	8.873874e+02	7.609573e+02	9.449354e+02	9.411597e+02	7.172392e+02	9.532235e+02	8.885378e+02	9.327465e+02	9.956251e+02	9.407295e+02	7.696622e+02	7.302815e+02	8.312128e+02	8.006376e+02	6.242766e+02	6.625863e+02	7.019530e+02	6.025978e+02	4.967562e+02	4.169986e+02	3.596648e+02	3.394982e+02	2.951903e+02	4.399850e+02	3.714809e+02	3.056425e+02	3.103992e+02	3.284081e+02	3.445424e+02	4.673220e+02	
Algeria	GDP_MilUSD	4.863488e+00	5.077222e+00	6.761786e+00	8.715106e+00	1.320971e+01	1.555793e+01	1.772835e+01	2.097190e+01	2.636449e+01	3.324342e+01	4.234528e+01	4.434867e+01	4.520709e+01	4.880137e+01	5.369828e+01	5.793787e+01	6.369630e+01	6.674227e+01	5.908907e+01	5.563149e+01	6.204510e+01	4.571537e+01	4.800330e+01	4.994646e+01	4.254257e+01	4.176405e+01	4.694150e+01	4.817786e+01	4.818775e+01	4.864061e+01	5.479006e+01	5.474471e+01	5.676029e+01	6.786383e+01	8.532500e+01	1.031980e+02	1.170270e+02	1.349770e+02	1.710010e+02	1.372110e+02	1.612070e+02	2.000130e+02	2.090470e+02	2.097040e+02	2.135180e+02	1.668390e+02	
Andorra	PBA_GgCO2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Andorra	CBA_GgCO2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Andorra	PBA_MtCO2perCap	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Andorra	CBA_MtCO2perCap	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Andorra	Population	24279	25560	26892	28231	29514	30706	31781	32769	33746	34819	36063	37502	39112	40862	42704	44597	46515	48458	50431	52449	54511	56674	58904	61003	62707	63854	64291	64147	63888	64161	65399	67770	71046	74783	78337	81223	83373	84878	85616	85474	84419	82326	79316	75902	72786	70473	
Andorra	PBA_GgCO2PerBnUSDGDP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Andorra	CBA_GgCO2PerBnUSDGDP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Andorra	GDP_MilUSD	7.861921e-02	8.940982e-02	1.134082e-01	1.508201e-01	1.865587e-01	2.201272e-01	2.272810e-01	2.540202e-01	3.080089e-01	4.115783e-01	4.464161e-01	3.889587e-01	3.758960e-01	3.278618e-01	3.300707e-01	3.467380e-01	4.820006e-01	6.113164e-01	7.214259e-01	7.954493e-01	1.029048e+00	1.106929e+00	1.210014e+00	1.007026e+00	1.017549e+00	1.178739e+00	1.223945e+00	1.180597e+00	1.211932e+00	1.239876e+00	1.401695e+00	1.484018e+00	1.717485e+00	2.373928e+00	2.916787e+00	3.248215e+00	3.536633e+00	4.010991e+00	4.001201e+00	3.650083e+00	3.346517e+00	3.427023e+00	3.146152e+00	3.248925e+00	0	0	
